#{"t_start": 1620827303.8721921, "env_id": "HalfCheetahPyBulletEnv-v0"}
r,l,t
-4.004876,13,64.197178
-3.797776,18,64.253503
0.502833,19,64.311771
-3.588916,17,64.363969
-2.576334,18,64.419209
-1.656729,17,64.471515
-3.366193,17,64.523795
0.70747,18,64.579327
2.134586,16,64.628629
5.279354,28,64.714748
-5.734504,22,64.781785
0.804391,18,64.837562
-7.126189,17,64.889888
-8.344203,18,64.945159
-1.62608,17,64.99732
-3.395504,18,65.052623
-0.826262,17,65.10468
-6.278551,18,65.160172
-3.505484,14,65.203281
-2.015535,18,65.259394
1.738872,17,65.311782
-8.858604,16,65.360635
0.246419,23,65.431263
4.661382,22,65.499012
-13.350376,19,65.557641
0.47487,20,65.618696
-5.46409,27,65.701777
5.740905,24,65.775203
-1.282527,18,65.832317
-1.088643,25,65.913649
-3.602864,19,65.972163
-0.64201,17,66.025399
2.687109,19,66.085407
-4.794885,18,66.141635
2.026908,19,66.200754
-10.841091,16,66.250689
1.655022,19,66.309885
-0.682303,20,66.372258
-7.34698,15,66.418958
4.386624,23,66.491213
-11.050813,17,66.54476
-1.785261,17,66.597784
-3.580835,18,66.653856
1.524519,19,66.713006
5.500714,19,66.772599
-4.077185,23,66.844672
-5.605781,21,66.91062
5.119838,29,67.008079
-1.939492,22,67.079123
-8.958487,16,67.128565
-2.235169,18,67.183766
0.133208,18,67.239111
2.34553,30,67.330856
-5.373093,27,67.413201
-2.159874,18,70.514671
1.390093,21,70.579295
3.561377,27,70.661821
-0.327407,20,70.723137
-0.21864,24,70.796581
-2.387904,18,70.852022
0.360718,14,70.895099
10.594036,34,70.99941
-6.206201,19,71.057644
-1.623779,18,71.112477
2.853642,22,71.179185
9.160557,28,71.265722
-3.248335,16,71.314636
-8.818852,18,71.369549
-3.043809,18,71.424577
2.478227,33,71.525926
3.659551,25,71.602569
-11.852672,21,71.666662
-14.779411,17,71.718549
-0.541013,18,71.773732
2.604426,20,71.835203
1.570569,20,71.896457
0.861038,18,71.951845
-13.127232,16,72.000896
0.801677,19,72.059277
-2.056769,17,72.111284
0.030587,19,72.169811
11.062614,28,72.255904
-4.386753,17,72.308039
1.853585,18,72.36318
-2.886566,19,72.421776
-5.907465,21,72.48596
5.748868,22,72.553825
1.669762,20,72.615322
-9.264908,15,72.666567
7.826722,20,72.732836
-1.91526,20,72.795157
-7.082768,29,72.884672
-7.165435,19,72.943418
-4.027926,16,72.992909
-3.549512,17,73.045611
-11.430796,19,73.104131
-2.038607,18,73.160008
-8.217043,21,73.224744
-9.397554,25,73.337596
-0.853956,17,73.39641
0.797745,18,73.452821
-4.416326,17,73.505965
6.559451,19,73.565188
-2.911116,19,73.623841
1.701165,20,73.685611
-0.83707,18,73.740165
-5.937303,18,73.794592
-0.926163,21,73.857996
3.982737,26,73.936549
-5.385667,15,73.982329
1.104038,17,74.033823
-6.713602,31,74.127298
-5.680225,22,74.193615
-3.257866,12,74.230556
-9.324628,21,74.294741
-5.319918,17,74.346514
2.433195,32,74.443643
-5.61408,22,74.510515
1.811456,16,74.559167
-3.330952,18,74.613636
-4.050044,14,74.65643
-2.769415,20,74.717171
-0.557785,18,74.771785
-6.905503,27,74.853711
-4.404985,13,74.893238
-1.07177,19,74.951396
4.520808,24,75.024614
1.283638,18,75.080477
2.918983,18,75.136832
-9.290368,16,75.185852
-2.806079,17,75.237588
-13.283117,26,75.316549
-2.202633,30,75.407704
-2.006535,17,75.459003
-0.836599,23,75.528871
1.15242,26,75.607936
0.50073,19,75.665678
-0.779081,18,75.720434
1.628587,25,75.796334
-1.628974,15,75.84207
-2.341591,18,75.896998
-0.181844,21,75.961088
-10.308196,28,76.046303
1.612665,19,76.10376
2.16031,18,76.158578
-2.021956,18,76.213709
-0.67656,19,76.271617
3.468546,20,76.332678
-7.672283,17,76.384081
0.459846,19,76.441999
-3.58237,16,76.490734
2.658223,19,76.548985
-1.860844,18,76.603778
2.172416,22,76.67073
4.381094,23,76.740576
-5.981627,17,79.85686
-0.271064,18,79.912857
-2.93416,20,79.974114
-3.616186,25,80.050774
2.922765,32,80.148028
2.824984,18,80.202935
2.542077,18,80.258238
-2.78564,22,80.325613
-2.315229,19,80.38345
3.689567,18,80.438364
4.743818,20,80.499704
-1.721648,19,80.557964
1.234072,16,80.606801
0.700262,19,80.664851
4.858645,27,80.746915
2.107604,20,80.808306
-0.625533,19,80.866551
4.126068,19,80.924714
0.816802,20,80.985868
-2.412301,23,81.055763
-4.536174,18,81.110547
-0.445926,24,81.183675
2.79056,18,81.23881
-4.230213,18,81.293731
-3.631879,19,81.351599
-2.722998,19,81.409719
-3.428976,24,81.482727
1.696133,20,81.544083
5.267227,22,81.611475
0.018907,18,81.666385
4.499108,18,81.721197
-4.592871,19,81.778969
3.832997,29,81.867549
-3.017249,23,81.937665
5.135574,23,82.008093
1.313012,16,82.056968
-5.267484,15,82.102579
-0.421494,18,82.157196
-2.681099,23,82.227527
-12.237719,18,82.282367
9.560932,37,82.395008
-8.497866,19,82.45281
-4.12985,17,82.504551
-2.299078,19,82.562892
3.471892,20,82.624024
-3.753852,18,82.679042
-0.864698,26,82.758301
0.467215,19,82.816771
-3.849057,17,82.868694
1.55088,20,82.929908
-3.868232,18,82.984843
-7.186324,20,83.045974
2.495523,15,83.092054
5.223552,27,83.17413
-5.060712,17,83.226026
-6.092376,19,83.283862
-6.039713,19,83.341749
2.41835,18,83.396984
0.332293,16,83.445839
2.808388,22,83.513054
-2.218655,24,83.58562
-5.839594,22,83.652831
-1.171192,21,83.716661
6.744159,22,83.78404
3.835612,21,83.848492
2.876912,18,83.903495
3.58175,20,83.96508
-1.732613,16,84.013615
-7.071306,21,84.07733
5.541099,21,84.141302
-4.181516,20,84.202185
-0.417201,18,84.257321
-1.098345,18,84.312567
2.50819,18,84.367702
3.548774,20,84.429001
3.633162,26,84.508642
0.438703,23,84.579051
-6.394543,18,84.63395
-1.452386,18,84.688629
-4.032739,27,84.771141
1.446859,15,84.816977
-3.264557,18,84.871557
0.14039,24,84.944843
4.392319,21,85.008879
0.75708,18,85.064075
-0.874069,18,85.11963
-1.855979,16,85.168468
-4.982277,17,85.220243
-6.293405,21,85.284168
0.266807,19,85.342274
0.801167,22,85.409523
2.386375,21,85.473692
-3.870897,14,85.516314
5.080765,30,85.607632
-1.591789,19,85.665854
0.004521,25,85.74203
2.090774,18,85.797239
3.491835,29,85.885971
-1.976537,15,85.931792
-1.773265,21,85.995523
2.235424,22,86.062243
-3.491894,14,86.104469
-2.450418,23,89.246605
14.49515,33,89.34811
-3.581572,18,89.403006
-5.421994,15,89.449351
-0.520712,21,89.513502
-1.14868,19,89.571609
5.743238,22,89.638776
10.369649,32,89.736262
3.626959,21,89.800625
-1.89197,15,89.84646
-2.356166,20,89.907349
0.905795,13,89.946922
3.200975,20,90.008204
-0.079813,12,90.045181
12.070469,41,90.170985
9.71633,25,90.251122
-12.041497,23,90.322062
-4.728021,21,90.386173
-6.940579,18,90.441565
4.062866,32,90.539374
-4.533984,23,90.609862
0.35628,32,90.707108
0.247928,23,90.777444
-7.772167,12,90.814441
0.159745,20,90.875765
-3.015953,15,90.921574
-0.635058,27,91.003727
-0.638505,12,91.040392
4.962702,21,91.104737
1.727836,29,91.192811
5.749961,20,91.25415
0.731379,18,91.309327
14.865165,40,91.431418
11.440719,27,91.514097
-4.246453,19,91.571756
3.03667,21,91.635472
4.258089,22,91.702343
0.226223,16,91.751053
3.536401,23,91.821437
-0.083303,11,91.85509
3.038799,30,91.94705
-2.007659,17,91.998728
-2.12955,33,92.099449
-3.255432,34,92.202272
4.3344,30,92.293406
0.09587,18,92.348645
-1.564863,11,92.382287
12.500243,28,92.467672
-5.900176,30,92.55887
4.793401,19,92.616823
-8.100119,19,92.674488
-4.579848,13,92.714608
-0.152523,12,92.75121
3.671238,22,92.818505
10.191597,33,92.919019
17.397162,37,93.032267
-0.139996,21,93.096644
-0.596146,18,93.151528
-0.260806,18,93.206455
3.256315,25,93.283177
11.288952,33,93.385037
3.804068,23,93.455419
2.703915,22,93.522552
3.293634,19,93.580918
3.331354,20,93.641956
1.244787,20,93.703025
0.578705,21,93.767083
0.008411,28,93.852507
1.934099,17,93.90449
-4.821932,21,93.968836
-3.066893,36,94.078179
-2.285294,23,94.147907
-2.554178,23,94.217987
3.758858,36,94.327726
7.628958,24,94.401229
3.241227,20,94.462495
3.46819,31,94.556695
-1.21534,20,94.616814
