nupdates,serial_timesteps,clipfrac,v_mix_ev,time_elapsed,gamelenmean,gamescoremean,total_timesteps,approxkl,fps,v_ex_ev,entropy
330,675840,0.453125,0.1425301432609558,5127.062520503998,790.93,1379.63060768,675840,0.04246729984879494,105,0.07760244607925415,-1.6742380857467651
331,677888,0.3125,0.7064924240112305,5144.658103466034,780.9,1364.4090362199997,677888,0.03139868378639221,116,0.6871672868728638,-1.7008519172668457
332,679936,0.484375,0.6192707419395447,5164.280820608139,799.49,1398.5790546599999,679936,0.06740370392799377,104,0.6329668462276459,-1.721077561378479
333,681984,0.5,0.7998270988464355,5180.441146850586,732.18,1281.57955619,681984,0.04297282174229622,126,0.8494336009025574,-1.744823694229126
334,684032,0.375,0.5851471722126007,5196.113986730576,732.99,1284.1965293399996,684032,0.049813032150268555,130,0.5755777060985565,-1.7565646171569824
335,686080,0.5625,-0.009955406188964844,5213.797119617462,732.99,1284.91680782,686080,0.06306142359972,115,0.02342522144317627,-1.7603027820587158
336,688128,0.5625,0.7279324233531952,5231.142102241516,713.88,1251.2963578500003,688128,0.09999153763055801,118,0.7242526113986969,-1.767477035522461
337,690176,0.359375,0.740476131439209,5247.6613557338715,699.25,1225.5134510199998,690176,0.05517967417836189,123,0.7512831389904022,-1.8052254915237427
338,692224,0.578125,0.7041153907775879,5262.227839708328,674.59,1183.4617054,692224,0.06973124295473099,140,0.7249360978603363,-1.860318899154663
339,694272,0.609375,0.6672883331775665,5277.052843809128,674.67,1185.9523241900001,694272,0.06342962384223938,138,0.6537328958511353,-1.8910071849822998
340,696320,0.609375,0.81181600689888,5291.007385730743,636.36,1118.77150767,696320,0.08767378330230713,146,0.8118478059768677,-1.886139988899231
341,698368,0.421875,0.7564861476421356,5304.876943588257,617.38,1085.1041171799998,698368,0.04416564851999283,147,0.7796055376529694,-1.9268523454666138
342,700416,0.578125,0.6174349188804626,5319.122083187103,617.4,1085.4936887,700416,0.06611603498458862,143,0.576731264591217,-1.9041553735733032
343,702464,0.5625,0.7969898730516434,5333.244907855988,588.35,1033.1224582,702464,0.06212823837995529,145,0.8082024157047272,-1.9204555749893188
344,704512,0.484375,0.026338040828704834,5347.819391965866,588.35,1032.7599375099999,704512,0.06221985071897507,140,-0.005902528762817383,-1.9682958126068115
345,706560,0.484375,0.6717298626899719,5361.992716550827,569.0,997.42338724,706560,0.08179767429828644,144,0.6731260716915131,-1.9685388803482056
346,708608,0.515625,0.06671082973480225,5376.615024805069,578.5,1015.3787263700001,708608,0.04492940008640289,140,-0.018262386322021484,-1.952948808670044
347,710656,0.34375,0.6294817626476288,5390.651436328888,559.05,981.1324359799999,710656,0.031247135251760483,145,0.6407241225242615,-1.9746567010879517
348,712704,0.453125,0.8383298963308334,5404.161163330078,520.56,912.64448904,712704,0.038673244416713715,151,0.860909029841423,-2.024275779724121
349,714752,0.5,0.7527883946895599,5418.728930950165,521.49,915.3150232799999,714752,0.05703050643205643,140,0.7258026003837585,-2.04061222076416
350,716800,0.4375,0.6875311732292175,5433.802395582199,509.57,894.7854217,716800,0.04526136443018913,135,0.7072375416755676,-2.040134906768799
351,718848,0.484375,0.7102900445461273,5449.709447383881,509.64,895.0315846799998,718848,0.05976799502968788,128,0.7085435390472412,-2.0379698276519775
352,720896,0.421875,0.645725667476654,5464.806901216507,500.09,878.4623977,720896,0.04435195028781891,135,0.7177276313304901,-2.0444517135620117
353,722944,0.40625,0.597590446472168,5483.244675159454,500.1,880.5727662600001,722944,0.03053220547735691,111,0.6124861538410187,-2.047207832336426
354,724992,0.5,0.8098060041666031,5499.558789968491,481.39,847.4643745100002,724992,0.05755019932985306,125,0.7850629538297653,-2.0671186447143555
355,727040,0.65625,0.05567282438278198,5516.0334260463715,500.57,883.6911566600002,727040,0.0826251432299614,124,0.09080904722213745,-2.05678129196167
356,729088,0.484375,0.8135698884725571,5529.965955018997,486.26,857.3175250500001,729088,0.05526520311832428,147,0.8258006274700165,-2.058013916015625
357,731136,0.5,0.8422484844923019,5544.012574195862,506.43,894.25847872,731136,0.09744726121425629,145,0.8486609011888504,-2.0561208724975586
358,733184,0.578125,0.08288609981536865,5558.71355175972,516.16,912.9866386099999,733184,0.06945493072271347,139,-0.011247754096984863,-2.022818088531494
359,735232,0.671875,-0.04894912242889404,5573.483418941498,525.8,931.25528543,735232,0.07331651449203491,138,-0.00949859619140625,-2.031306743621826
360,737280,0.53125,0.07744824886322021,5588.081807851791,525.8,933.2891360799999,737280,0.09336336702108383,140,0.012864351272583008,-2.028322696685791
361,739328,0.5,0.6696006655693054,5602.370861291885,516.11,917.1101256299999,739328,0.03402342647314072,143,0.6663312911987305,-2.042463779449463
362,741376,0.484375,0.6563234627246857,5616.688836097717,516.14,918.36454104,741376,0.07097697257995605,143,0.6149470806121826,-2.0426061153411865
363,743424,0.5625,0.699050784111023,5631.385488510132,534.88,954.12650101,743424,0.07057388126850128,139,0.6678594350814819,-2.057403326034546
364,745472,0.515625,0.08864516019821167,5646.11080121994,544.53,972.8651082900001,745472,0.05042341351509094,139,0.0025415420532226562,-2.024811029434204
365,747520,0.53125,0.06677645444869995,5661.25088262558,563.81,1009.6427883300001,747520,0.062312688678503036,135,0.01938176155090332,-2.0638887882232666
366,749568,0.53125,0.1310136318206787,5676.054586172104,573.57,1028.67623089,749568,0.06342850625514984,138,0.026476502418518066,-2.0787739753723145
367,751616,0.5625,0.6938865780830383,5690.201194286346,574.34,1029.54980066,751616,0.07121865451335907,144,0.7262026965618134,-2.048659324645996
368,753664,0.5625,0.07895427942276001,5705.185424566269,583.63,1048.4163938600002,753664,0.09354450553655624,136,0.048509299755096436,-2.085623264312744
369,755712,0.46875,0.5181449353694916,5719.5022149086,593.34,1066.65824156,755712,0.05669628456234932,143,0.4427529573440552,-2.094560146331787
370,757760,0.515625,0.04373210668563843,5734.85898399353,593.34,1068.1257715100003,757760,0.09677038341760635,133,0.012635588645935059,-2.1243724822998047
371,759808,0.484375,0.04759711027145386,5749.860817909241,612.39,1104.82481118,759808,0.08298029005527496,136,0.011163532733917236,-2.128711700439453
372,761856,0.625,0.08462738990783691,5766.966493606567,621.96,1124.3501154799999,761856,0.08795185387134552,119,0.016491711139678955,-2.149484395980835
373,763904,0.4375,0.5066206157207489,5784.015657186508,621.94,1125.12456651,763904,0.038639653474092484,120,0.5196434259414673,-2.2067065238952637
374,765952,0.6875,0.6570055186748505,5798.490740537643,637.81,1154.87085427,765952,0.09181922674179077,141,0.682380735874176,-2.244594097137451
375,768000,0.625,0.5299371778964996,5815.24689745903,637.65,1155.95671395,768000,0.07214003056287766,122,0.5355336368083954,-2.232307195663452
376,770048,0.421875,0.09312224388122559,5831.694877624512,647.34,1173.92379891,770048,0.04648609459400177,124,0.036359965801239014,-2.2180087566375732
377,772096,0.484375,0.10211533308029175,5848.193345308304,657.0,1193.3519420299997,772096,0.05088692903518677,124,0.030376076698303223,-2.1532464027404785
378,774144,0.5625,0.5268762111663818,5862.868515014648,647.4,1175.4333089099998,774144,0.07208896428346634,139,0.5475737452507019,-2.1673436164855957
379,776192,0.53125,0.6886991262435913,5877.518805503845,652.9,1185.1520129399998,776192,0.044422686100006104,139,0.7163711190223694,-2.1585240364074707
380,778240,0.421875,0.7299184203147888,5891.142622232437,664.27,1206.03546854,778240,0.046579450368881226,150,0.7423193454742432,-2.173318386077881
381,780288,0.4375,0.5509703159332275,5905.453724622726,673.87,1224.7639155,780288,0.04376012831926346,143,0.5633095502853394,-2.1736176013946533
382,782336,0.53125,0.09933018684387207,5920.187497854233,683.56,1243.17074697,782336,0.06779739260673523,139,0.01567023992538452,-2.191624164581299
383,784384,0.53125,0.13702571392059326,5935.130174160004,692.82,1261.1376540499998,784384,0.04417113959789276,137,0.0037075281143188477,-2.181243419647217
384,786432,0.53125,0.07652240991592407,5949.888435125351,702.57,1279.8172751,786432,0.06438414007425308,138,0.04907870292663574,-2.173574924468994
385,788480,0.671875,0.1215699315071106,5965.115920782089,712.24,1298.7354138,788480,0.09047479927539825,134,-0.0012242794036865234,-2.1907379627227783
386,790528,0.359375,0.6229113638401031,5980.046040296555,722.01,1317.7519006999999,790528,0.05696037411689758,137,0.5861690938472748,-2.2016615867614746
387,792576,0.515625,0.12332427501678467,5996.990042686462,731.75,1336.26348424,792576,0.07364779710769653,120,0.015958011150360107,-2.2174952030181885
388,794624,0.453125,0.2073015570640564,6014.116774082184,731.75,1335.7268260800001,794624,0.05517697334289551,119,0.022159159183502197,-2.1819658279418945
389,796672,0.5,0.6008526980876923,6028.772015571594,742.29,1354.6913855800003,796672,0.06495703756809235,139,0.5819164514541626,-2.17391300201416
390,798720,0.4375,0.6521413922309875,6044.116567850113,742.4,1353.57369646,798720,0.06808436661958694,133,0.6124074161052704,-2.1839544773101807
391,800768,0.5625,0.11661505699157715,6059.37917470932,761.11,1388.76576285,800768,0.07709822058677673,134,0.00847095251083374,-2.2030558586120605
392,802816,0.453125,0.10823565721511841,6074.457865476608,761.11,1388.5007861700003,802816,0.04425565153360367,135,-0.0020200014114379883,-2.219576835632324
393,804864,0.578125,0.14217382669448853,6089.8058450222015,761.11,1388.50592922,804864,0.05059265345335007,133,0.05365347862243652,-2.269800901412964
394,806912,0.4375,0.6443568170070648,6104.844424009323,775.88,1416.64629284,806912,0.03803816810250282,136,0.6305541694164276,-2.2563271522521973
395,808960,0.421875,0.16089755296707153,6122.567495107651,785.53,1434.33588352,808960,0.04261782020330429,115,0.04392266273498535,-2.2763071060180664
396,811008,0.40625,0.11137324571609497,6138.982527256012,795.04,1451.7876268600003,811008,0.03988749161362648,124,0.14772146940231323,-2.286282539367676
397,813056,0.5625,0.17397421598434448,6156.254581451416,813.65,1485.8486476900005,813056,0.07426202297210693,118,0.1040613055229187,-2.304004192352295
398,815104,0.515625,0.09540218114852905,6175.241851568222,813.65,1486.1940611100001,815104,0.05351603031158447,107,-0.0018830299377441406,-2.287787675857544
399,817152,0.515625,0.06267422437667847,6194.877232074738,813.65,1486.2595741100001,817152,0.06230391189455986,104,0.02520507574081421,-2.317201852798462
