#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
r,l,t
9.0,9,32.050386
10.0,10,32.071109
8.0,8,32.088684
10.0,10,32.108698
9.0,9,32.126612
10.0,10,32.147546
9.0,9,32.165891
9.0,9,32.184234
8.0,8,32.200596
9.0,9,32.217697
10.0,10,32.237005
8.0,8,32.253123
11.0,11,32.274841
8.0,8,32.290654
9.0,9,32.308441
8.0,8,32.324884
9.0,9,32.342768
10.0,10,32.362553
8.0,8,32.378387
10.0,10,32.397693
8.0,8,32.413527
10.0,10,32.433412
11.0,11,32.455032
9.0,9,32.472656
9.0,9,32.490524
10.0,10,32.512105
9.0,9,32.532074
10.0,10,32.552523
9.0,9,32.57083
10.0,10,32.590769
10.0,10,32.610568
9.0,9,32.628753
8.0,8,32.644736
9.0,9,32.662748
10.0,10,32.682815
9.0,9,32.700762
10.0,10,32.720479
10.0,10,32.739561
9.0,9,32.756694
8.0,8,32.771344
8.0,8,32.786557
10.0,10,32.80553
10.0,10,32.824558
9.0,9,32.841563
10.0,10,32.860893
9.0,9,32.877975
10.0,10,32.896866
10.0,10,32.915744
11.0,11,32.936612
9.0,9,32.953913
10.0,10,32.972871
10.0,10,32.99197
9.0,9,33.009097
9.0,9,33.026098
10.0,10,35.783397
9.0,9,35.799842
10.0,10,35.819516
10.0,10,35.839525
10.0,10,35.859667
10.0,10,35.879793
9.0,9,35.897556
10.0,10,35.91743
9.0,9,35.935288
10.0,10,35.95538
8.0,8,35.970438
9.0,9,35.98711
9.0,9,36.003463
10.0,10,36.021541
10.0,10,36.039616
10.0,10,36.057843
11.0,11,36.078106
9.0,9,36.094377
9.0,9,36.110818
8.0,8,36.125314
9.0,9,36.141911
10.0,10,36.160563
9.0,9,36.177589
10.0,10,36.195846
9.0,9,36.212369
10.0,10,36.230482
9.0,9,36.246771
10.0,10,36.264903
9.0,9,36.281348
8.0,8,36.295838
9.0,9,36.312126
9.0,9,36.328388
11.0,11,36.348304
9.0,9,36.364824
10.0,10,36.382999
9.0,9,36.399302
10.0,10,36.417385
9.0,9,36.433673
10.0,10,36.451749
9.0,9,36.468029
8.0,8,36.482595
9.0,9,36.498927
10.0,10,36.517011
10.0,10,36.535061
9.0,9,36.551322
10.0,10,36.569447
10.0,10,36.587707
9.0,9,36.606028
8.0,8,36.620622
10.0,10,36.638761
8.0,8,36.653224
10.0,10,36.671488
11.0,11,36.691375
10.0,10,36.709474
9.0,9,36.725724
10.0,10,36.743792
10.0,10,36.761852
9.0,9,36.778228
10.0,10,36.796298
10.0,10,36.814409
10.0,10,36.832485
9.0,9,36.848794
10.0,10,36.866892
9.0,9,36.883337
8.0,8,36.897832
9.0,9,36.914114
10.0,10,36.932197
9.0,9,36.948496
8.0,8,36.963049
9.0,9,36.979423
9.0,9,36.995719
9.0,9,37.012008
9.0,9,37.028299
8.0,8,37.042817
10.0,10,37.061355
11.0,11,37.081861
10.0,10,37.100431
9.0,9,37.117575
9.0,9,37.134671
9.0,9,37.152188
10.0,10,37.1718
10.0,10,37.19176
10.0,10,37.211586
9.0,9,37.229018
9.0,9,37.246397
8.0,8,37.261727
9.0,9,37.279063
9.0,9,37.296315
9.0,9,37.313562
9.0,9,37.330846
8.0,8,37.346264
11.0,11,37.367384
10.0,10,37.386534
8.0,8,37.401907
9.0,9,37.419181
9.0,9,37.436477
8.0,8,37.451807
9.0,9,37.469118
8.0,8,37.484454
8.0,8,37.499763
9.0,9,37.517152
11.0,11,37.538252
10.0,10,37.557437
9.0,9,37.574685
9.0,9,37.591986
10.0,10,37.610749
10.0,10,37.629504
9.0,9,37.646317
8.0,8,37.661214
10.0,10,37.679791
9.0,9,37.696502
8.0,8,37.711437
10.0,10,37.730145
8.0,8,37.744973
10.0,10,37.763563
10.0,10,37.782083
8.0,8,37.796798
8.0,8,37.8116
10.0,10,37.830299
10.0,10,37.84884
10.0,10,37.867562
10.0,10,37.886242
9.0,9,37.902843
10.0,10,37.921423
8.0,8,37.936305
10.0,10,37.954893
10.0,10,37.973385
9.0,9,37.989942
9.0,9,38.006617
10.0,10,38.025327
11.0,11,38.045621
8.0,8,38.060478
8.0,8,38.075568
10.0,10,38.095374
9.0,9,38.114133
10.0,10,38.133515
10.0,10,38.152462
9.0,9,38.16945
8.0,8,38.184544
9.0,9,38.201443
10.0,10,38.220029
10.0,10,38.238553
9.0,9,38.255245
9.0,9,38.271942
9.0,9,38.288573
10.0,10,38.307179
9.0,9,38.323828
11.0,11,38.344195
9.0,9,38.360904
10.0,10,38.379435
10.0,10,38.397742
9.0,9,38.414273
10.0,10,38.432613
9.0,9,38.449108
10.0,10,38.467295
9.0,9,38.483669
10.0,10,38.5018
11.0,11,38.521845
11.0,11,38.541927
10.0,10,38.560088
9.0,9,38.576454
10.0,10,38.594817
10.0,10,38.61316
8.0,8,38.627882
